1,2,3,4,5
"{'True Negative': 39757, 'False Positive': 1456, 'False Negative': 4000, 'True Positive': 744, 'Precision (PPV)': 0.3381818181818182, 'Sensitivity (TPR, Recall)': 0.9646713415669813, 'Accuracy': 0.881280327262441, 'F1 Score': 0.2142857142857143, 'RMSE': 0.34455721257515276, 'R Squared': -0.28246972940192383, 'Matthews Correlation Coefficient (MCC)': 0.17315469545366904, 'ROC AUC score': 0.5607505105811298}","{'True Negative': 39914, 'False Positive': 1299, 'False Negative': 3994, 'True Positive': 749, 'Precision (PPV)': 0.36572265625, 'Sensitivity (TPR, Recall)': 0.9684808191590032, 'Accuracy': 0.884824614848986, 'F1 Score': 0.2205860697982624, 'RMSE': 0.3393749919351955, 'R Squared': -0.24439071228663578, 'Matthews Correlation Coefficient (MCC)': 0.18635721603224478, 'ROC AUC score': 0.5631988746859744}","{'True Negative': 39821, 'False Positive': 1392, 'False Negative': 3957, 'True Positive': 786, 'Precision (PPV)': 0.3608815426997245, 'Sensitivity (TPR, Recall)': 0.9662242496299711, 'Accuracy': 0.8836060579684916, 'F1 Score': 0.22713480710879927, 'RMSE': 0.3411655639590672, 'R Squared': -0.2575563801287011, 'Matthews Correlation Coefficient (MCC)': 0.1889166937446181, 'ROC AUC score': 0.5659710748466111}","{'True Negative': 39886, 'False Positive': 1327, 'False Negative': 4018, 'True Positive': 725, 'Precision (PPV)': 0.3533138401559454, 'Sensitivity (TPR, Recall)': 0.9678014218814451, 'Accuracy': 0.8836930977456697, 'F1 Score': 0.21339220014716703, 'RMSE': 0.34103797773023786, 'R Squared': -0.2566159752828394, 'Matthews Correlation Coefficient (MCC)': 0.1777297068946278, 'ROC AUC score': 0.5603291317714204}","{'True Negative': 39912, 'False Positive': 1300, 'False Negative': 4035, 'True Positive': 709, 'Precision (PPV)': 0.35291189646590343, 'Sensitivity (TPR, Recall)': 0.9684557895758517, 'Accuracy': 0.8839106971886151, 'F1 Score': 0.2099807492966089, 'RMSE': 0.3407188031374036, 'R Squared': -0.25403100146505264, 'Matthews Correlation Coefficient (MCC)': 0.17545747477886972, 'ROC AUC score': 0.5589538644337942}"
"{'True Negative': 39420, 'False Positive': 1793, 'False Negative': 3927, 'True Positive': 817, 'Precision (PPV)': 0.31302681992337167, 'Sensitivity (TPR, Recall)': 0.9564943100478005, 'Accuracy': 0.8755358269686881, 'F1 Score': 0.2221920043513734, 'RMSE': 0.35279480301063376, 'R Squared': -0.34452471630846837, 'Matthews Correlation Coefficient (MCC)': 0.1692030565061894, 'ROC AUC score': 0.5643559239952325}","{'True Negative': 39538, 'False Positive': 1675, 'False Negative': 3947, 'True Positive': 796, 'Precision (PPV)': 0.32213678672602186, 'Sensitivity (TPR, Recall)': 0.959357484288938, 'Accuracy': 0.8776655931760815, 'F1 Score': 0.22068200720820627, 'RMSE': 0.34976335832090605, 'R Squared': -0.32173901085876944, 'Matthews Correlation Coefficient (MCC)': 0.1715415020697544, 'ROC AUC score': 0.5635918772910007}","{'True Negative': 39476, 'False Positive': 1737, 'False Negative': 3917, 'True Positive': 826, 'Precision (PPV)': 0.3222785797893094, 'Sensitivity (TPR, Recall)': 0.9578531046029165, 'Accuracy': 0.8769692749586561, 'F1 Score': 0.22611552148918695, 'RMSE': 0.3507573592119542, 'R Squared': -0.32926224962566386, 'Matthews Correlation Coefficient (MCC)': 0.17500410046345694, 'ROC AUC score': 0.5660022427927086}","{'True Negative': 39479, 'False Positive': 1734, 'False Negative': 3982, 'True Positive': 761, 'Precision (PPV)': 0.30501002004008015, 'Sensitivity (TPR, Recall)': 0.9579258971683692, 'Accuracy': 0.8756201584123945, 'F1 Score': 0.21027908261950815, 'RMSE': 0.3526752636457589, 'R Squared': -0.3438385247365219, 'Matthews Correlation Coefficient (MCC)': 0.15893177287170682, 'ROC AUC score': 0.5591864358285447}","{'True Negative': 39561, 'False Positive': 1651, 'False Negative': 3998, 'True Positive': 746, 'Precision (PPV)': 0.3112223612849395, 'Sensitivity (TPR, Recall)': 0.9599388527613316, 'Accuracy': 0.8770780746801288, 'F1 Score': 0.20893432292396025, 'RMSE': 0.3506022323372616, 'R Squared': -0.3278390116731176, 'Matthews Correlation Coefficient (MCC)': 0.16036227471750325, 'ROC AUC score': 0.5585950587584061}"
"{'True Negative': 41213, 'False Positive': 0, 'False Negative': 4744, 'True Positive': 0, 'Precision (PPV)': 0.0, 'Sensitivity (TPR, Recall)': 1.0, 'Accuracy': 0.896773070478926, 'F1 Score': 0.0, 'RMSE': 0.32128947931899987, 'R Squared': -0.1151093101691214, 'Matthews Correlation Coefficient (MCC)': 0.0, 'ROC AUC score': 0.5}","{'True Negative': 41213, 'False Positive': 0, 'False Negative': 4743, 'True Positive': 0, 'Precision (PPV)': 0.0, 'Sensitivity (TPR, Recall)': 1.0, 'Accuracy': 0.8967925842109844, 'F1 Score': 0.0, 'RMSE': 0.3212591100482842, 'R Squared': -0.1150850459806374, 'Matthews Correlation Coefficient (MCC)': 0.0, 'ROC AUC score': 0.5}","{'True Negative': 41213, 'False Positive': 0, 'False Negative': 4743, 'True Positive': 0, 'Precision (PPV)': 0.0, 'Sensitivity (TPR, Recall)': 1.0, 'Accuracy': 0.8967925842109844, 'F1 Score': 0.0, 'RMSE': 0.3212591100482842, 'R Squared': -0.1150850459806374, 'Matthews Correlation Coefficient (MCC)': 0.0, 'ROC AUC score': 0.5}","{'True Negative': 41213, 'False Positive': 0, 'False Negative': 4743, 'True Positive': 0, 'Precision (PPV)': 0.0, 'Sensitivity (TPR, Recall)': 1.0, 'Accuracy': 0.8967925842109844, 'F1 Score': 0.0, 'RMSE': 0.3212591100482842, 'R Squared': -0.1150850459806374, 'Matthews Correlation Coefficient (MCC)': 0.0, 'ROC AUC score': 0.5}","{'True Negative': 41212, 'False Positive': 0, 'False Negative': 4744, 'True Positive': 0, 'Precision (PPV)': 0.0, 'Sensitivity (TPR, Recall)': 1.0, 'Accuracy': 0.8967708242666899, 'F1 Score': 0.0, 'RMSE': 0.3212929749205702, 'R Squared': -0.11511210327089216, 'Matthews Correlation Coefficient (MCC)': 0.0, 'ROC AUC score': 0.5}"
"{'True Negative': 40762, 'False Positive': 451, 'False Negative': 4228, 'True Positive': 516, 'Precision (PPV)': 0.5336091003102379, 'Sensitivity (TPR, Recall)': 0.9890568509936185, 'Accuracy': 0.8981874360815545, 'F1 Score': 0.1807039047452285, 'RMSE': 0.31908081095303353, 'R Squared': -0.09983062021107059, 'Matthews Correlation Coefficient (MCC)': 0.2073823198673131, 'ROC AUC score': 0.5489129111629139}","{'True Negative': 40835, 'False Positive': 378, 'False Negative': 4253, 'True Positive': 490, 'Precision (PPV)': 0.5645161290322581, 'Sensitivity (TPR, Recall)': 0.9908281367529663, 'Accuracy': 0.8992296979719732, 'F1 Score': 0.17465692389948317, 'RMSE': 0.31744338397268074, 'R Squared': -0.0887537102965068, 'Matthews Correlation Coefficient (MCC)': 0.21038732824547055, 'ROC AUC score': 0.5470691390068858}","{'True Negative': 40762, 'False Positive': 451, 'False Negative': 4229, 'True Positive': 514, 'Precision (PPV)': 0.5326424870466321, 'Sensitivity (TPR, Recall)': 0.9890568509936185, 'Accuracy': 0.8981634607015406, 'F1 Score': 0.18009810791871056, 'RMSE': 0.31911837818975486, 'R Squared': -0.10027366965831397, 'Matthews Correlation Coefficient (MCC)': 0.2067268500080316, 'ROC AUC score': 0.5487135404029868}","{'True Negative': 40799, 'False Positive': 414, 'False Negative': 4233, 'True Positive': 510, 'Precision (PPV)': 0.551948051948052, 'Sensitivity (TPR, Recall)': 0.9899546259675345, 'Accuracy': 0.8988815388632605, 'F1 Score': 0.1799894123875066, 'RMSE': 0.3179912909762459, 'R Squared': -0.09251532967995413, 'Matthews Correlation Coefficient (MCC)': 0.21128531388715455, 'ROC AUC score': 0.5487407538439822}","{'True Negative': 40810, 'False Positive': 402, 'False Negative': 4275, 'True Positive': 469, 'Precision (PPV)': 0.5384615384615384, 'Sensitivity (TPR, Recall)': 0.9902455595457633, 'Accuracy': 0.8982287405344243, 'F1 Score': 0.16705253784505789, 'RMSE': 0.319016080261757, 'R Squared': -0.09936326032840692, 'Matthews Correlation Coefficient (MCC)': 0.19882557925393027, 'ROC AUC score': 0.5445536398066084}"
"{'True Negative': 41213, 'False Positive': 0, 'False Negative': 4744, 'True Positive': 0, 'Precision (PPV)': 0.0, 'Sensitivity (TPR, Recall)': 1.0, 'Accuracy': 0.896773070478926, 'F1 Score': 0.0, 'RMSE': 0.32128947931899987, 'R Squared': -0.1151093101691214, 'Matthews Correlation Coefficient (MCC)': 0.0, 'ROC AUC score': 0.5}","{'True Negative': 41213, 'False Positive': 0, 'False Negative': 4743, 'True Positive': 0, 'Precision (PPV)': 0.0, 'Sensitivity (TPR, Recall)': 1.0, 'Accuracy': 0.8967925842109844, 'F1 Score': 0.0, 'RMSE': 0.3212591100482842, 'R Squared': -0.1150850459806374, 'Matthews Correlation Coefficient (MCC)': 0.0, 'ROC AUC score': 0.5}","{'True Negative': 41213, 'False Positive': 0, 'False Negative': 4743, 'True Positive': 0, 'Precision (PPV)': 0.0, 'Sensitivity (TPR, Recall)': 1.0, 'Accuracy': 0.8967925842109844, 'F1 Score': 0.0, 'RMSE': 0.3212591100482842, 'R Squared': -0.1150850459806374, 'Matthews Correlation Coefficient (MCC)': 0.0, 'ROC AUC score': 0.5}","{'True Negative': 41213, 'False Positive': 0, 'False Negative': 4743, 'True Positive': 0, 'Precision (PPV)': 0.0, 'Sensitivity (TPR, Recall)': 1.0, 'Accuracy': 0.8967925842109844, 'F1 Score': 0.0, 'RMSE': 0.3212591100482842, 'R Squared': -0.1150850459806374, 'Matthews Correlation Coefficient (MCC)': 0.0, 'ROC AUC score': 0.5}","{'True Negative': 41212, 'False Positive': 0, 'False Negative': 4744, 'True Positive': 0, 'Precision (PPV)': 0.0, 'Sensitivity (TPR, Recall)': 1.0, 'Accuracy': 0.8967708242666899, 'F1 Score': 0.0, 'RMSE': 0.3212929749205702, 'R Squared': -0.11511210327089216, 'Matthews Correlation Coefficient (MCC)': 0.0, 'ROC AUC score': 0.5}"
"{'True Negative': 39441, 'False Positive': 1772, 'False Negative': 3885, 'True Positive': 859, 'Precision (PPV)': 0.32649182820220446, 'Sensitivity (TPR, Recall)': 0.957003858005969, 'Accuracy': 0.8769066736296973, 'F1 Score': 0.2329491525423729, 'RMSE': 0.35084658523392054, 'R Squared': -0.3297161398875885, 'Matthews Correlation Coefficient (MCC)': 0.18082929617402116, 'ROC AUC score': 0.5690373421564415}","{'True Negative': 39504, 'False Positive': 1709, 'False Negative': 3876, 'True Positive': 867, 'Precision (PPV)': 0.33656832298136646, 'Sensitivity (TPR, Recall)': 0.9585325018804746, 'Accuracy': 0.8784707111149795, 'F1 Score': 0.23691761169558684, 'RMSE': 0.34861051172479074, 'R Squared': -0.3130402660345477, 'Matthews Correlation Coefficient (MCC)': 0.18691958315481896, 'ROC AUC score': 0.5706641004026028}","{'True Negative': 39448, 'False Positive': 1765, 'False Negative': 3832, 'True Positive': 911, 'Precision (PPV)': 0.34043348281016445, 'Sensitivity (TPR, Recall)': 0.9571737073253586, 'Accuracy': 0.878209591783445, 'F1 Score': 0.24558565844453434, 'RMSE': 0.34898482519524393, 'R Squared': -0.31586148057213315, 'Matthews Correlation Coefficient (MCC)': 0.19389221907598886, 'ROC AUC score': 0.574623117630632}","{'True Negative': 39555, 'False Positive': 1658, 'False Negative': 3916, 'True Positive': 827, 'Precision (PPV)': 0.3327967806841046, 'Sensitivity (TPR, Recall)': 0.9597699754931697, 'Accuracy': 0.8787100705022195, 'F1 Score': 0.22883231876037635, 'RMSE': 0.34826703762742245, 'R Squared': -0.3104541527084277, 'Matthews Correlation Coefficient (MCC)': 0.18043205344770305, 'ROC AUC score': 0.5670660967493257}","{'True Negative': 39445, 'False Positive': 1767, 'False Negative': 3882, 'True Positive': 862, 'Precision (PPV)': 0.3278813236972233, 'Sensitivity (TPR, Recall)': 0.9571241386004077, 'Accuracy': 0.8770780746801288, 'F1 Score': 0.23382612233826122, 'RMSE': 0.3506022323372616, 'R Squared': -0.3278390116731176, 'Matthews Correlation Coefficient (MCC)': 0.18187985272075666, 'ROC AUC score': 0.5694136713238126}"
"{'True Negative': 36099, 'False Positive': 5114, 'False Negative': 2504, 'True Positive': 2240, 'Precision (PPV)': 0.30459613815610553, 'Sensitivity (TPR, Recall)': 0.8759129400917186, 'Accuracy': 0.8342363513719346, 'F1 Score': 0.3703091420069433, 'RMSE': 0.40714082161835036, 'R Squared': -0.7906624630835513, 'Matthews Correlation Coefficient (MCC)': 0.28887274203521573, 'ROC AUC score': 0.6740441597591813}","{'True Negative': 36247, 'False Positive': 4966, 'False Negative': 2547, 'True Positive': 2196, 'Precision (PPV)': 0.30661826305501255, 'Sensitivity (TPR, Recall)': 0.8795040399873826, 'Accuracy': 0.8365175385151014, 'F1 Score': 0.3689206215875682, 'RMSE': 0.4043296445784041, 'R Squared': -0.7663154017399387, 'Matthews Correlation Coefficient (MCC)': 0.28728141436908905, 'ROC AUC score': 0.6712510712270878}","{'True Negative': 36063, 'False Positive': 5150, 'False Negative': 2534, 'True Positive': 2209, 'Precision (PPV)': 0.30017665443674413, 'Sensitivity (TPR, Recall)': 0.8750394293062869, 'Accuracy': 0.8327965880407346, 'F1 Score': 0.36506362584696744, 'RMSE': 0.4089051380935013, 'R Squared': -0.8065177089005309, 'Matthews Correlation Coefficient (MCC)': 0.28270245284611556, 'ROC AUC score': 0.670389206535918}","{'True Negative': 36136, 'False Positive': 5077, 'False Negative': 2529, 'True Positive': 2214, 'Precision (PPV)': 0.30366204910163214, 'Sensitivity (TPR, Recall)': 0.8768107150656347, 'Accuracy': 0.834493863695709, 'F1 Score': 0.36795745388067136, 'RMSE': 0.4068244539162943, 'R Squared': -0.7881798144062258, 'Matthews Correlation Coefficient (MCC)': 0.2861206379850013, 'ROC AUC score': 0.671801941973045}","{'True Negative': 36305, 'False Positive': 4907, 'False Negative': 2543, 'True Positive': 2201, 'Precision (PPV)': 0.30965109735509283, 'Sensitivity (TPR, Recall)': 0.8809327380374649, 'Accuracy': 0.8378884150056576, 'F1 Score': 0.3714141073236584, 'RMSE': 0.40263082966203967, 'R Squared': -0.7511773122614138, 'Matthews Correlation Coefficient (MCC)': 0.29020388941851755, 'ROC AUC score': 0.6724436034200816}"
"{'True Negative': 40946, 'False Positive': 267, 'False Negative': 4403, 'True Positive': 341, 'Precision (PPV)': 0.5608552631578947, 'Sensitivity (TPR, Recall)': 0.9935214616747143, 'Accuracy': 0.8983832713188415, 'F1 Score': 0.12742899850523168, 'RMSE': 0.3187737892003646, 'R Squared': -0.097715109293802, 'Matthews Correlation Coefficient (MCC)': 0.17415784972846637, 'ROC AUC score': 0.5327008657446084}","{'True Negative': 40959, 'False Positive': 254, 'False Negative': 4407, 'True Positive': 336, 'Precision (PPV)': 0.5694915254237288, 'Sensitivity (TPR, Recall)': 0.9938368961250091, 'Accuracy': 0.8985768996431369, 'F1 Score': 0.12600787549221829, 'RMSE': 0.3184699363470013, 'R Squared': -0.0958067466404704, 'Matthews Correlation Coefficient (MCC)': 0.174787319029651, 'ROC AUC score': 0.5323390679233522}","{'True Negative': 40916, 'False Positive': 297, 'False Negative': 4397, 'True Positive': 346, 'Precision (PPV)': 0.5381026438569206, 'Sensitivity (TPR, Recall)': 0.9927935360201878, 'Accuracy': 0.897858821481417, 'F1 Score': 0.12848124767916821, 'RMSE': 0.3195953355707542, 'R Squared': -0.10356508661883024, 'Matthews Correlation Coefficient (MCC)': 0.17028534150720664, 'ROC AUC score': 0.5328715729858476}","{'True Negative': 40930, 'False Positive': 283, 'False Negative': 4406, 'True Positive': 337, 'Precision (PPV)': 0.5435483870967742, 'Sensitivity (TPR, Recall)': 0.9931332346589669, 'Accuracy': 0.8979676212028898, 'F1 Score': 0.12567592765243332, 'RMSE': 0.31942507540440573, 'R Squared': -0.10238958056150294, 'Matthews Correlation Coefficient (MCC)': 0.1692629418843999, 'ROC AUC score': 0.5320926557018215}","{'True Negative': 40976, 'False Positive': 236, 'False Negative': 4449, 'True Positive': 295, 'Precision (PPV)': 0.5555555555555556, 'Sensitivity (TPR, Recall)': 0.9942735125691546, 'Accuracy': 0.8980546609800679, 'F1 Score': 0.11184834123222746, 'RMSE': 0.3192888019018708, 'R Squared': -0.10124371918721109, 'Matthews Correlation Coefficient (MCC)': 0.1607347371077284, 'ROC AUC score': 0.5282286618495015}"
